,Age,G1,GS1,Cmp1,Att1,Yds1,TD1,Int2,Att2,Yds2,Y/A2,TD2,Tgt3,Rec3,Yds3,Y/R3,TD3,Fmb4,FL4,TD4,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Rating,Class
95,28.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,14.0,205.0,14.64,4.0,0.0,0.0,4.0,0.0,0.0,45.0,58.5,61.5,51.5,0.0,17.0,0.0,10.8,2
96,34.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,27.0,308.0,11.41,2.0,0.0,0.0,2.0,1.0,0.0,45.0,71.8,74.8,58.3,0.0,16.0,0.0,15.8,2
97,28.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,35.0,324.0,9.26,2.0,1.0,0.0,2.0,0.0,0.0,44.0,79.4,82.4,61.9,0.0,18.0,0.0,17.16,2
98,23.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,33.0,8.25,0.0,53.0,38.0,372.0,9.79,1.0,3.0,2.0,1.0,0.0,0.0,43.0,80.5,85.5,61.5,0.0,57.0,0.0,13.66,2
99,21.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,11.5,1.0,40.0,22.0,230.0,10.45,2.0,0.0,0.0,3.0,0.0,0.0,43.0,65.3,68.3,54.3,0.0,56.0,0.0,13.02,2
100,26.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,271.0,3.76,1.0,10.0,8.0,40.0,5.0,1.0,1.0,1.0,2.0,0.0,0.0,41.0,49.1,53.1,45.1,0.0,53.0,0.0,10.05,2
101,26.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,32.0,342.0,10.69,1.0,0.0,0.0,1.0,0.0,0.0,40.0,72.2,75.2,56.2,0.0,20.0,0.0,13.85,2
102,28.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,339.0,11.3,1.0,0.0,0.0,1.0,0.0,0.0,40.0,69.9,72.9,54.9,0.0,60.0,0.0,12.15,2
103,28.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,36.0,25.0,328.0,13.12,1.0,2.0,1.0,1.0,0.0,0.0,38.0,62.7,66.7,50.2,0.0,21.0,0.0,19.29,2
104,23.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,31.0,19.0,230.0,12.11,2.0,1.0,1.0,2.0,1.0,0.0,36.0,54.9,58.9,45.4,0.0,68.0,0.0,12.3,2
105,30.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,51.0,8.5,0.0,23.0,20.0,109.0,5.45,3.0,1.0,0.0,3.0,0.0,0.0,34.0,54.0,57.0,44.0,0.0,58.0,0.0,9.25,2
106,32.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,21.0,336.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,54.6,57.6,44.1,0.0,72.0,0.0,9.81,2
107,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,28.0,241.0,8.61,1.0,1.0,1.0,1.0,1.0,1.0,32.0,60.1,64.1,46.1,0.0,75.0,0.0,9.36,2
108,27.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-3.0,0.0,36.0,26.0,224.0,8.62,2.0,1.0,1.0,2.0,0.0,0.0,32.0,58.1,62.1,45.1,0.0,23.0,0.0,11.59,2
109,26.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,20.0,200.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,32.0,52.0,55.0,42.0,0.0,24.0,0.0,9.87,2
110,27.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,18.0,204.0,11.33,2.0,0.0,0.0,2.0,0.0,0.0,32.0,50.4,53.4,41.4,0.0,22.0,0.0,11.62,2
111,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,128.0,4.41,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,31.0,30.8,33.8,30.8,0.0,63.0,0.0,9.5,2
